ministry,dept,scheme,re16-17,be17-18,description
"Ministry of Consumer Affairs, Food and Public Distribution",Department of Food and Public Distribution,Loans to Sugar Factories for Bagasse based Co-generation Power Projects,901.00,632.00,The provision is for providing concessional loans to sugar factories for bagasse based co- generation power projects and is to be met from the Sugar Development Fund.
"Ministry of Consumer Affairs, Food and Public Distribution",Department of Food and Public Distribution,Loans to Sugar Factories for production of Anhydrous Alcohol or Ethanol from Alcohol,1049.00,792.00,The provision is for providing concessional loans to sugar factories for production of anhydrous alcohol or ethanol from alcohol and is to be met from the Sugar Development Fund.
"Ministry of Consumer Affairs, Food and Public Distribution",Department of Food and Public Distribution,Loans to Sugar Mills for Cane Development,512.00,701.00,The provision is for providing concessional loans to sugar mills for cane development and is to be met from the Sugar Development Fund.
"Ministry of Consumer Affairs, Food and Public Distribution",Department of Food and Public Distribution,"National Sugar Institute (NSI), Kanpur",363.00,673.00,"This includes provision for Training 
(Establishment expenditure of NSI) and provision to set-up fermentation and distillation unit along with associated analytical equipment at NSI, Kanpur."
"Ministry of Consumer Affairs, Food and Public Distribution",Department of Food and Public Distribution,Production subsidy to Sugar Mills to offset cost of cane and facilitate timely payment of cane price dues of farmers,483.00,555.00,"A production subsidy @..`.4.50 per quintal of cane crushed for the production of sugar shall be provided to offset the cost of cane purchased by the sugar mills. The said subsidy shall be paid directly to the farmer on behalf of the mills and adjusted against cane price payable / due to the farmers against Fair and Remunerative Price (FRP) including arrears relating to previous years. Subsequent balance, if any, shall be credited into the mill's account..."
"Ministry of Consumer Affairs, Food and Public Distribution",Department of Food and Public Distribution,"Scheme for Extending Financial Assistance to Sugar Undertakings, 2014",401.00,480.00,"The provision..`.801 crores is for interest subvention to all participating Scheduled Commercial Banks, Regional Rural Banks and Cooperative Banks with a view to improve position of sugar factories for enabling them to clear cane price arrears of previous sugar seasons and timely settlement of cane price of current sugar season relating to the Fair and Remunerative Price (FRP) fixed by the Central Government, to sugarcane farmers. The interest subvention, limited up to 12 % per annum as per normal banking practice, is for duration of loans, which is five years including two years of moratorium. The entire amount will be met from Sugar Development Fund (SDF)..."
"Ministry of Consumer Affairs, Food and Public Distribution",Department of Food and Public Distribution,Storage and Godown,136.00,102.00,This provision for creating storage capacity through Food Corporation of India and State Governments with focus on North Eastern Region.
"Ministry of Consumer Affairs, Food and Public Distribution",Department of Food and Public Distribution,Strengthening of PDS Operations,431.00,641.00,Strengthen public distribution system operations.
"Ministry of Consumer Affairs, Food and Public Distribution",Department of Food and Public Distribution,Subsidy on Import of Edible Oils - Past Liabilities,336.00,530.00,The provision is for making pending payment of edible oil subsidy to 3 CPSUs who had imported Edible Oils under the 'scheme of importing subsidized edible oil through State Governments / UT Administration with Government of India subsidy input of..`.15/-per Kg'...
"Ministry of Consumer Affairs, Food and Public Distribution",Department of Food and Public Distribution,Transfer to Sugar Development Fund,681.00,553.00,"The Sugar Cess Act, 1982 provides for levy of cess, which currently is..`.124 per quintal with effect from 1st February, 2016 on production of Sugar for credit to the Consolidated Fund of India. The Sugar Development Fund Act, 1982 provides for transfer of an amount equivalent to the cess collected, reduced by the cost of collection to the Sugar Development Fund, to be used for development of sugar industry and for matters connected therewith or incidentals thereto by making loans, grants and other expenditure relating to development of Sugar Industry. The provision is for transfer of the amount computed in the above manner from the Consolidated Fund of India to Sugar Development Fund under the Public Account of India and withdrawals from the Fund..."
"Ministry of Consumer Affairs, Food and Public Distribution",Department of Food and Public Distribution,Warehousing Development and Regulatory Authority (WDRA) and Other Programmes of Food Storage,87.00,173.00,"(a) The Plan provision is to provide Grants-in-aid-Salaries and Grants- in-aid-General to WDRA, an autonomous body of Government of India, for establishment expenditure and expenses towards IT enabled system for Management Information System (MIS) and online monitoring of Negotiable Warehouse Receipts (NWRs) / Transformation Plan.
"
"Ministry of Consumer Affairs, Food and Public Distribution",Department of Food and Public Distribution,Ways and Means Advances to Food Corporation of India,498.00,376.00,"This provision is for Ways and Means Advances to the Food Corporation of India to meet its cash flow requirements towards procurement of foodgrains for Targeted Public Distribution System (TPDS), meeting buffer stock requirements and handling of foodgrains operations. This advance will be adjusted in the same financial year.
"
Ministry of Drinking Water and Sanitation,NA,National Rural Drinking Water Programme,484.00,911.00,"The National Rural Drinking Water Programme (NRDWP) is a flagship programme of the Government and a component of the Bharat Nirman with the objective of ensuring provision of safe and adequate drinking water supply through handpumps, piped water supply etc. to all rural areas, households and persons. The NRDWP (formerly Accelerated Rural Water Supply Programme (ARSWP) subsumes the programme of ARSWP, Swajaldhara and National Rural Water Quality Moitoring & Surveillance. Under this Centrally Sponsored Scheme financial assistance is provided to States/Uts for coverage of all rural habitations, including quality affected habitations with safe drinking water provision; Sustainability measures for drinking water sources & systems; Operation & Maintenance of existing rural water supply schemes, Support activities like IEC, Training, MIS & Computerization etc. and Water Quality Monitoring and Surveillance."
Ministry of Drinking Water and Sanitation,NA,Swachh Bharat Abhiyan (Gramin),1103.00,746.00,"The Government continues to give utmost importance for supplementing the efforts of the State Governments to provide sanitation facilities to the rural masses. Total Sanitation Projects have been launched in 642 districts covering 32 States/Uts. It is proposed to cover all the districts with Swachh Bharat Abhiyan (Gramin) by the end of 12th Plan and set an objective of achieving cent percent sanitation coverage in all rural areas by 2nd October, 2019."
"Ministry of Environment, Forests and Climate Change",NA,Central Pollution Control Board (CPCB),1208.00,878.00,These guys hate it when people pollute! They want to keep that kind of business under control.
"Ministry of Environment, Forests and Climate Change",NA,Conservation of Natural Resources and Eco-systems,441.00,583.00,"To conserve the natural resources and eco-system of the country, the Ministry has been making efforts in areas like, corals, mangroves, Bio-spheres, wetland and lakes."
"Ministry of Environment, Forests and Climate Change",NA,Education and Training,103.00,100.00,"The Scheme has five components: i) Indira Gandhi National Forest Academy, ii) State Forest Service and Rangers Colleges, iii) Forestry Training and Capacity Building, iv) Strengthening of Regional Offices and v) Animal Welfare Institute for providing training and other activities with objective to train the forest, environment personnel and also to empower the regional offices of the Ministry."
"Ministry of Environment, Forests and Climate Change",NA,Environmental Protection and Monitoring,569.00,535.00,"Ministry gives priority to protection of environment, creates awareness and imparts education through exhibitions and training programmes. Collection of environmental information, dissemination of information to larger stakeholders is main objectives. Apart from this, the Ministry supports in development of clean technologies and also abatement of the pollution in industrial plants."
"Ministry of Environment, Forests and Climate Change",NA,Integrated Development of Wildlife Habitats,609.00,504.00,"The Ministry has three main schemes to protect the wildlife of the country, namely, Project Tiger, Project Elephant and Integrated development of wildlife Habitats. These schemes are implemented as Centrally Sponsored Schemes."
"Ministry of Environment, Forests and Climate Change",NA,National Action Plan on Climate Change,213.00,156.00,"With growing recognition of the threat of the Climate Change and its significance as an area of domestic policy making and planning a scheme Climate Change Action Plan has been brought in the First year of the 12th FYP. Thereafter, a new scheme called National Adaptation Fund for Climate Change is launched in 2014-15 and also launched National Mission on Himalayan Studies aimed at focussing on conservation of Himalayan Ecosystem and sustainable development of the region, and is intended to take a leading role in shaping the future of the Indian Himalayan Region (IHR)."
"Ministry of Environment, Forests and Climate Change",NA,National Biodiversity Authority (NBA),983.00,955.00,These guys are really into diversity. Bio-diversity.
"Ministry of Environment, Forests and Climate Change",NA,National Coastal Zone Management Programme (EAP),133.00,233.00,Ministry is implementing a reengineered Coastal Regulation Zone (CRZ) Notification 2011 to ensure livelihood security to fishing and other local community to conserve and protect coastal stretches and to promote development based on scientific principles. Another Notification on island Protection Zone is also being implemented for similar purposes for the island of Andaman & Nicobar and the Lakshadweep. Ministry is also implementing a World Bank Assisted Integrated Coastal Zone Management Project.
"Ministry of Environment, Forests and Climate Change",NA,National Green Tribunal (NGT) & Others,732.00,951.00,These guys hate it when someone pollutes the environment.
"Ministry of Environment, Forests and Climate Change",NA,National Mission for a Green India,632.00,728.00,"With objective to increase the forest cover and also protect the existing forest land, the Ministry has two plan schemes namely, Green India Mission: National Afforestation Programme and Intensification of Forest Management."
"Ministry of Environment, Forests and Climate Change",NA,National River Conservation Programme (EAP),992.00,717.00,These dudes like to conserve rivers big time.
"Ministry of Environment, Forests and Climate Change",NA,National Tiger Conservation Authority (NTCA),568.00,615.00,These dudes love tigers. A lot.
"Ministry of Environment, Forests and Climate Change",NA,Survey and Research,618.00,431.00,"In order to support the Ministry to take policy decisions objectively, various sub-ordinate offices are established in various spheres of environment, forest and ecology. These institutions carry out regular surveys and support the Ministry in functioning, namely Forest Survey of India ( FSI), National Zoological Park (NZP), National Afforestation and Eco- Development Board, Botanical Survey of India, Zoological Survey of India (ZSI) and National Museum of Natural History.These institutions work for R & D for Conservation & Development, Bio Diversity Conservation and institutes engaged in tree planting, wildlife and research, soil conservation, water resource management, animal ecology.
"
"Ministry of Environment, Forests and Climate Change",NA,Wildlife Crime Control Bureau (WCCB),573.00,506.00,They hate it when people kill animals.
Ministry of Health and Family Welfare,Department of Health and Family Welfare,"All India Institute of Medical Sciences, New Delhi",1229.00,964.00,t has been set up by an Act of Parliament in 1956 as a premier institution to conduct experiments and research on various disciplines of medical services. Dr. Rajendra Prasad Centre for Opthalmic Sciences is attached to it. The Central Govt. provides 100% financial support to the institute.
Ministry of Health and Family Welfare,Department of Health and Family Welfare,Central Government Health Scheme,281.00,290.00,"It provides comprehensive medical facilities to Central Govt. employees and members of their families in addition to other specified categories like Members of Parliament (MPs), ex-MPs, ex-Governors, ex-Vice-Presidents, Retired Judges of Supreme Court and High Court, Freedom Fighters and members of their family, etc."
Ministry of Health and Family Welfare,Department of Health and Family Welfare,Family Welfare Schemes ,543.00,815.00,"It provides assistance for schemes for procurement and supply of contraceptives, and for schemes like Strengthening National Programme Management of the NRHM, Funding to Training/ Research Institutions, IEC, and other activities of Central Sector. "
Ministry of Health and Family Welfare,Department of Health and Family Welfare,Food and Drug Administration ,1026.00,922.00,"It aims at (i) prescription of national standards in consultation with national and international institutions (ii) administration of PFA Act and rules and coordination and liaison with States in enforcement of its provisions (iii) providing administrative support like training, equipment and laboratory facilities and (iv) providing consumer education, through newly set up Food Safety and Standards Authority of India (FSSAI). "
Ministry of Health and Family Welfare,Department of Health and Family Welfare,Human Resource for Health and Medical Education ,394.00,482.00,"Under this scheme assistance will be provided for Establishing new medical colleges (upgrading Distric Hospitals), States/UTs for Upgradation/Strengthening of Nursing Services, Pharmacy Schools/ "
Ministry of Health and Family Welfare,Department of Health and Family Welfare,Major Central Medical Institutions ,547.00,972.00,"It provides for major Central Medical Institutions /Hospitals viz. Safdarjang Hospital & VMMC, Lady Hardinge Medical College & SK Hospital, RML Hospital & RML PGIMER, PGI Chandigarh, JIPMER Puducherry, NIMHANS Bangluru, NEIGRIHMS Shillong and RIMS Imphal to deliver Health Services and education. "
Ministry of Health and Family Welfare,Department of Health and Family Welfare,National AIDS and STD Control Programme,666.00,514.00,"Grants are provided to the State/UT/Municipal AIDS Control Societies for implementing strategies of National AIDS and STD Control Programme . These include activities for prevention including (i) Targeted Intervention among High Risk Groups and Bridge population, (ii) Information , Education and Communication activities in States and Uts, (iii) Treatment of STI, (iv) Blood safety and quality assurance, (v) Provision of Integrated Counseling & Testing facilities including prevention of Parent to Child Transmission, (vi) Rural outreach through Link Worker Scheme, (vii) Activities for providing Care, Support & Treatment to People living with HIV / AIDS and Capacity Building."
Ministry of Health and Family Welfare,Department of Health and Family Welfare,National Centre for Disease Control ,138.00,245.00,"The aim of this institute was established to function as a national centre of excellence for control of communicable diseases. The function of the institute also included various areas of training and research using multi-disciplinary integrated approach. The institute was, in addition, expected to provide expertise to the States and Union Territories (UTs) on rapid health assessment and laboratory based diagnostic services. Surveillance of communicable diseases and outbreak investigation also formed an indispensable part of its activities. "
Ministry of Health and Family Welfare,Department of Health and Family Welfare,National Health Mission ,705.00,563.00,"The activities under the Mission provides for health needs of rural and urban population including control of Vector Borne Diseases, TB, and Leprosy etc. It supports decentralized planning and flexible programming by the States including development of State and district level Project Implementation Plans (PIPs) with a focus on outcomes particularly relating to vulnerable sections, and community based monitoring & evaluation."
Ministry of Health and Family Welfare,Department of Health and Family Welfare,Other Central Medical Institutions ,136.00,216.00,"It provides for major Central Medical Institution/ Hospitals viz. Oversight Committee, Central Institute of Psychiatry, Ranchi, Kalawati Saran Children's Hospital, New Delhi, All India Institue of Physical Medical and Rehabilitation, Mumbai, Lala Ram Swarup, Institute of T.B. And Allied Disease, New Delhi, Vallabh Bhai Patel Chest Institute, Delhi University, Kasturba Health Society, Wardha, Cancer (CNCI Kolkata), All India Institute of Speech & hearing, Mysore, Ripans, Aizwal, LGBRIMH, Tejpur, RAK College of Nursing, New Delhi, Lady Reading Health School, National TB Training Institute, Bangalore, Central/ Regional Leprosy Training and Research Institutions, AIIH&PH, Kolkata, Central Health Education Bureau, New Delhi, National Medical Library, Strengthening of HIIMS to deliver Health Services. "
Ministry of Health and Family Welfare,Department of Health and Family Welfare,Other Health Schemes ,305.00,286.00,"It provides for various Health Schemes engaged in Health care viz. National Organ Transplant Programme, and National Advisory Board for Standards, Health Insurance and Emergency Medical Services, Development of Nursing Services. "
Ministry of Health and Family Welfare,Department of Health and Family Welfare,Pardhan Mantri Swasthya Suraksha Yojana,199.00,247.00,"This has been launched with objectives of correcting regional imbalances in the availability of affordable/reliable tertiary healthcare services and to augment facilities for quality medical education in the country. The scheme envisage setting up of 6 New AIIMS like Institutions, one each at Bhopal, Bhubneswar, Jodhpur, Patna, Raipur and Rishikesh in the first phase West Bengal and Uttar Pradesh in the second phase and upgradation of 13 existing Government medical college institutions in the first phase, 6 in the second phase and 39 in the third phase of PMSSY. In addition, provision is also to upgrade 12 more Government Medical Colleges under PMSSY phase fourth."
Ministry of Health and Family Welfare,Department of Health and Family Welfare,Port/ Airport Health Organizations/ Establishments ,1085.00,758.00,The Organization administers and arranges for Health Clearance and quarantine administration at the major ports and international airports in the country. The objective of this organization is to prevent spread of communicable diseases through passengers coming from or transiting through notified endemic countries. 
Ministry of Health and Family Welfare,Department of Health and Family Welfare,Public Health Laboratories ,606.00,742.00,"It provides for Central Research Institute, Kasauli a subordinate office of DteGHS and National Institute of Biological Standardization and Quality Control, Noida, an autonomous institution under the Ministry of Health and FW The objectives of the Institution are to develop and lay down standards for quality control testing procedures for biological and immunological products, to develop linkages with other National, International institutions, to keep abreast of worldwide scientific research; and technological development in quality control of biological and immunobiologicals; to provide training facilities in quality control for personnel of related institutions; Institute of Serology, Kolkata, a subordinate office of Dte.GHS, it provides for utilization of laboratory unit for carrying out drugs sensitivity test, production of anti-sera vaccine with independent quality assurance for departmental production. "
Ministry of Health and Family Welfare,Department of Health and Family Welfare,Rashtriya Swasthya Suraksha Yojna (RSSY),76.00,76.00,"It provides for social security to workers in the unorganized sector to meet the requirement of health security, the scheme has been launched for BPL workers and their family members."
Ministry of Health and Family Welfare,Department of Health and Family Welfare,Statutory Bodies ,196.00,378.00,"Grants are provided to Medical Council of India, Dental Council of India, Pharmacy Council of India, India Nursing Council, National Academy of Medical Sciences and National Board of Examination. "
Ministry of Health and Family Welfare,Department of Health and Family Welfare,Tertiary Care Programme/Scheme ,993.00,802.00,"It provides for Tertiary Care Programme/Schemes viz Tobacco Control, National Mental Health Programme, Assistance for Capacity Building for Trauma Centres, National Programme for Prevention and Control of Cancer, Diabetes, Cardiovascular Diseases and Stroke, Health Care for the Elderly, National Programme for Blindness and Telemedicine. "
Ministry of Housing and Urban Poverty Alleviation,NA,National Urban Livelihoods Mission (NULM),31.00,29.00,"The provision is for the scheme of Livelihoods Mission (Urban), NULM aimed at providing gainful employment and skill development to the urban unemployed or underemployed poor."
Ministry of Housing and Urban Poverty Alleviation,NA,Pradhan Mantri Awas Yojana (Urban),852.00,890.00,"The provision is for scheme Pradhan Mantri Awas Yojana (Urban), aimed to provide pucca houses to every household by the year 2022."
Ministry of Human Resource Development,Department of Higher Education,All India Council for Technical Education,203.00,321.00,"All India council for Technical Education (AICTE), New Delhi was set up in 1945 as an Advisory Body. It was given a statutory status through an Act of Parliament in 1987, which came into effect on March 28, 1988. Main functions of All India Council for Technical Education (AICTE) are proper planning and coordinated development of the technical education system throughout the country, promotion of qualitative improvements of such education in relation to planned quantitative growth and regulation and proper maintenance of norms and standards in the technical education system."
Ministry of Human Resource Development,Department of Higher Education,Andhra Pradesh & Telangana Tribal Universities,615.00,969.00,Andhra Pradesh & Telangana Tribal Universities
Ministry of Human Resource Development,Department of Higher Education,"Assistance to Other Institutes including SLIET, NERIST, NIFFT Ranchi & CIT Kokrajhar",511.00,484.00,"This provides funds for other Institutes including SLIET Punjab, NERIST Arunachal Pradesh, NIFFT Ranchi & CIT Kokrajhar."
