category,sub-category,scheme-category,scheme,2015-16,2016-17 (BE),2016-17 (RE),2017-18 (BE),change be-be,change re-be,description
Major Central Sector Schemes,Major Central Sector Schemes,National Social Assistance Progamme,National Social Assistance Progamme,8616,9500,9500,9500,0%,0%,"Goal is to secure for the citizens adequate means of livelihood, raise the standard of living and take other such welfare measures."
Major Central Sector Schemes,Major Central Sector Schemes,Police Infrastructure,Police Infrastructure,3739,3265,3183,4447,36%,40%,"Aimed at bolstering state police forces by building secure police stations, providing better training and equipping forces with modern weaponry."
Major Central Sector Schemes,Major Central Sector Schemes,Pradhan Mantri Mudra Yojana and other Credit Guarantee Funds,Pradhan Mantri Mudra Yojana and other Credit Guarantee Funds,540,2135,2135,1040,-51%,-51%,Provides loans to entreprenuers at reasonable interest rates.
Major Central Sector Schemes,Major Central Sector Schemes,Pradhan Mantri Paridhan Rojgar Protsahan Yojna (PMPRPY),Pradhan Mantri Paridhan Rojgar Protsahan Yojna (PMPRPY),..,..,..,200,#VALUE!,#VALUE!,Scheme to incentivise employers in job creation with the government paying part of employee pension.
Major Central Sector Schemes,Major Central Sector Schemes,Pradhan Mantri Swasthya Suraksha Yojana,Pradhan Mantri Swasthya Suraksha Yojana,1578,2450,1953,3975,62%,104%,Objective is to correct regional imbalances in the availability of affordable/ reliable tertiary healthcare services.
Major Central Sector Schemes,Major Central Sector Schemes,Price Stabilisation Fund,Price Stabilisation Fund,...,900,3400,3500,289%,3%,"Seeks to support market interventions for price control of perishable agri-horticultural commodities like onion, potato etc."
Major Central Sector Schemes,Major Central Sector Schemes,Prime Minister  Employment Generation Programme (PMEGP),Prime Minister  Employment Generation Programme (PMEGP),1281,1139,1120,1024,-10%,-9%,Aimed at generating employment opportunities through establishment of micro enterprises in rural and urban areas.
Major Central Sector Schemes,Major Central Sector Schemes,"Promotion of Electronics and IT HW manufacturing (MSIPS, EDF and Manufacturing Clusters)","Promotion of Electronics and IT HW manufacturing (MSIPS, EDF and Manufacturing Clusters)",52,70,50,745,964%,1390%,Provides financial assistance for creating world-class infrastructure for electronics manufacturing units.
Major Central Sector Schemes,Major Central Sector Schemes,Recapitalization of Public Sector Banks,Recapitalization of Public Sector Banks,25000,25000,25000,10000,-60%,-60%,
Major Central Sector Schemes,Major Central Sector Schemes,Remission of State Levies (ROSL),Remission of State Levies (ROSL),...,...,400,1555,#VALUE!,289%,
Major Central Sector Schemes,Major Central Sector Schemes,Road Safety Works,Road Safety Works,2603,2998,3745,5217,74%,39%,
Major Central Sector Schemes,Major Central Sector Schemes,Scholarship for College and University Students,Scholarship for College and University Students,217,271,286,320,18%,12%,Provides financial assistance to meritorious students from poor families to meet a part of their day-to-day expenses while pursuing higher studies.
Major Central Sector Schemes,Major Central Sector Schemes,Stand-Up India (through NCGTC),Stand-Up India (through NCGTC),...,500,500,520,4%,4%,"Aimed at upliftment of SCs, STs and women entrepreneurs."
