category,scheme,2016-17,2017-18 (BE),2017-18 (RE),2018-19 (BE),change be-be,change re-be,description
Core Schemes,LPG Connection to Poor Households,2500,2500,2252,3200,28%,28%,Provides LPG at subsidized rates.
Core Schemes,Member of Parliament Local Area Development Scheme (MPLAD),3500,3950,3950,3950,0%,0%,
Core Schemes,Metro Projects & MRTS,15327,18000,18000,15000,-17%,-17%,
Core of the Core Schemes,National AIDS and STD Control Programme,1749,2000,2163,2100,5%,5%,Goal is to reduce STD cases and prevent both short and long term morbidity due to STDs.
Core of the Core Schemes,National Capital Region Transport Corporation,0,0,0,659,N/A,N/A,
Core of the Core Schemes,National Ganga Plan and Ghat Works,1675,2300,2300,2300,0%,0%,
Core of the Core Schemes,National Highways Authority of India including Road Works,51963,64483,60671,70544,9%,9%,
Core of the Core Schemes,National Manufacturing Competitiveness Programme (NMCP),319,506,461,1006,99%,99%,
Core Schemes,National River Conservation Programme,0,250,723,770,208%,208%,
Core Schemes,National Seismic Programme,0,0,10,1300,N/A,N/A,
Core Schemes,North Eastern Industrial and Investment Promotion Policy (NEIPP),170,600,783,528,-12%,-12%,
Core Schemes,Optical Fibre Cable based network for Defence Services,3210,3000,3755,4500,50%,50%,
Core Schemes,Pardhan Mantri Swasthya Suraksha Yojana,1953,3975,3175,3825,-4%,-4%,
Core Schemes,Phulpur Dhamra Haldia Pipeline Project,450,1200,400,1674,40%,40%,
Core Schemes,Police Infrastructure,2904,4447,4490,4750,7%,7%,"Aimed at bolstering state police forces by building secure police stations, providing better training and equipping forces with modern weaponry."
Core Schemes,Pradhan Mantri Kisan Sampada Yojana,0,0,0,1313,N/A,N/A,
Core Schemes,Price Stabilisation Fund,6900,3500,3500,1500,-57%,-57%,"Seeks to support market interventions for price control of perishable agri-horticultural commodities like onion, potato etc."
Core Schemes,Prime Minister Employment Generation Programme (PMEGP),1113,1024,1195,1801,76%,76%,
Core Schemes,Procurement of Cotton by Cotton Corporation under Price Support Scheme,610,0,303,924,N/A,N/A,
Core Schemes,Promotion of Digital payment,0,0,25,596,N/A,N/A,
Core Schemes,"Promotion of Electronics and IT HW Manufacturing  (MSIPS, EDF and Manufacturing Clusters)",50,745,485,864,16%,16%,
Core Schemes,Refund of Central and Integrated GST to Industrial Units in North Eastern Region and Himalayan States,0,0,1440,1500,N/A,N/A,
Core Schemes,Remission of State Levies (ROSL),400,1555,1855,2164,39%,39%,
Core Schemes,Sagarmala,406,600,480,600,0%,0%,
Core Schemes,Sahaj Bijli Har Ghar Yojana (Rural)- Saubhagya,0,0,1550,2750,N/A,N/A,
Core Schemes,Science and Technology Institutional and Human Capacity Building,932,1073,1008,1109,3%,3%,
Core Schemes,Solar Power - Grid Interactive Renewable Power,1992,2661,1117,2045,-23%,-23%,
Core Schemes,Solar Power - Off-Grid/Distributed and Decentralized Renewable Power,549,700,985,849,21%,21%,
Core Schemes,Strengthening of Power Systems including Power Sector Development Fund,1331,1517,1767,1311,-14%,-14%,
Core Schemes,Wind Power - Grid Interactive Renewable Power,489,400,750,750,88%,88%,
